supplier_id,supplier_name,category,vat_number,reg_number,address,contact_email,bank_name,branch_code,account_number,payment_terms_days,approved,date_approved
SUP-0026,Brakpan Sheet Metal (Pty) Ltd,Steel and Metals,4191277618,2012/105985/07,"138 Diesel Road, Wadeville",accounts@brakpansheetmetal.co.za,Investec,580105,330694702,30,Y,2021-06-11
SUP-0027,Kya Sand Plastics (Pty) Ltd,Plastics,4888235541,2020/699668/07,"40 Chilvers Street, Kempton Park",accounts@kyasandplastics.co.za,Absa Bank,632005,2962016583,30,Y,2021-02-24
SUP-0028,Wadeville Hose and Coupling (Pty) Ltd,Hydraulics,4374336397,2003/693354/07,"65 Chilvers Street, Wadeville",accounts@wadevillehoseandco.co.za,Nedbank,198765,1651987388,30,Y,2024-08-17
SUP-0029,Jet Park Packaging (Pty) Ltd,Packaging,4206223375,2016/581084/07,"239 Landmarks Avenue, Alrode",accounts@jetparkpackaging.co.za,First National Bank,250655,294465182,60,Y,2021-12-12
SUP-0030,Elandsfontein Rubber (Pty) Ltd,Seals,4324904261,2009/360788/07,"76 Main Reef Road, Alrode",accounts@elandsfonteinrubbe.co.za,Nedbank,198765,827736293,30,Y,2023-06-08
SUP-0031,Sebenza Workwear (Pty) Ltd,Safety and PPE,4137697806,2006/690686/07,"123 Barlow Road, Roodepoort",accounts@sebenzaworkwear.co.za,Nedbank,198765,142247922,30,Y,2025-03-22
SUP-0032,Linbro Park Hardware (Pty) Ltd,General Hardware,4376480389,2017/782370/07,"149 Chilvers Street, Spartan",accounts@linbroparkhardware.co.za,Investec,580105,0685325346,60,Y,2022-12-20
SUP-0033,Aeroton Castors (Pty) Ltd,General Hardware,4398129039,2016/383862/07,"60 Dekema Road, Spartan",accounts@aerotoncastors.co.za,Standard Bank,051001,737734820,45,Y,2024-01-30
SUP-0034,Chamdor Forklift Spares (Pty) Ltd,Materials Handling,4769493085,2021/715353/07,"2 Vlakfontein Road, Alrode",accounts@chamdorforkliftspa.co.za,Standard Bank,051001,924335587,45,Y,2024-05-10
SUP-0035,Selby Scrap and Recovery (Pty) Ltd,Steel and Metals,4920583702,1998/794803/07,"142 Herman Road, Boksburg",accounts@selbyscrapandrecov.co.za,First National Bank,250655,4740218151,30,Y,2022-12-21
SUP-0036,Booysens Battery Centre (Pty) Ltd,Electrical,4655761019,2007/815052/07,"35 Herman Road, Boksburg",accounts@booysensbatterycen.co.za,Capitec Business,470010,2238708796,30,Y,2023-02-11
SUP-0037,Denver Crane Services (Pty) Ltd,Materials Handling,4445358060,2000/230377/07,"63 Main Reef Road, Wadeville",accounts@denvercraneservice.co.za,First National Bank,250655,4719531319,30,Y,2019-10-02
SUP-0038,Cleveland Bolt Supplies (Pty) Ltd,Fasteners,4220502518,2013/294814/07,"71 Diesel Road, Isando",accounts@clevelandboltsuppl.co.za,Capitec Business,470010,300763464,30,Y,2023-05-20
SUP-0039,Robertsham Glass and Perspex (Pty) Ltd,Plastics,4519492735,2007/519550/07,"191 Kruger Street, Roodepoort",accounts@robertshamglassand.co.za,Capitec Business,470010,63734875647,30,Y,2020-01-06
SUP-0040,Ophirton Hydraulic Rams (Pty) Ltd,Hydraulics,4746494091,2003/312275/07,"231 North Rand Road, Spartan",accounts@ophirtonhydraulicr.co.za,Capitec Business,470010,2553281416,30,Y,2019-12-26
SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,Refrigeration,4587048565,2021/881043/07,"12 Rondebult Road, Kempton Park",accounts@citydeepcoldstorag.co.za,Nedbank,198765,2101929685,60,Y,2023-12-10
SUP-0042,Crown Mines Motor Spares (Pty) Ltd,Motors,4021856678,2011/648490/07,"87 Sam Green Road, Kempton Park",accounts@crownminesmotorspa.co.za,Standard Bank,051001,200689969,60,Y,2022-02-04
SUP-0043,New Centre Gas and Gear (Pty) Ltd,Welding,4763833892,2000/394935/07,"54 Angus Crescent, Spartan",accounts@newcentregasandgea.co.za,Investec,580105,1829516973,30,Y,2025-03-07
SUP-0044,Village Main Instruments (Pty) Ltd,Instrumentation,4043496765,2016/725016/07,"56 Vlakfontein Road, Germiston",accounts@villagemaininstrum.co.za,Absa Bank,632005,696049115,30,Y,2023-04-10
SUP-0045,Salt River Marine Fittings (Pty) Ltd,Pipe and Fittings,4241849051,2017/613931/07,"217 Barlow Road, Boksburg",accounts@saltrivermarinefit.co.za,Absa Bank,632005,037652732,30,Y,2025-07-01
