po_number,supplier_id,supplier_name,po_date,requester,department,cost_centre,total_ex_vat,approval_level,status
PO-2026-00102,SUP-0034,Chamdor Forklift Spares (Pty) Ltd,2026-03-06,L. Nkosi,Warehouse,CC-300,49137.52,Department Manager,Open
PO-2026-00103,SUP-0032,Linbro Park Hardware (Pty) Ltd,2026-06-18,B. Sithole,Production,CC-100,5057.82,Buyer,Open
PO-2026-00104,SUP-0012,Tshwane Pneumatics (Pty) Ltd,2026-01-06,L. Nkosi,Engineering,CC-400,17199.95,Department Manager,Open
PO-2026-00105,SUP-0034,Chamdor Forklift Spares (Pty) Ltd,2026-08-25,C. Maree,Maintenance,CC-200,150890.0,Finance Manager,Open
PO-2026-00106,SUP-0032,Linbro Park Hardware (Pty) Ltd,2026-04-22,P. Dlamini,Warehouse,CC-300,264.44,Buyer,Open
PO-2026-00107,SUP-0036,Booysens Battery Centre (Pty) Ltd,2026-02-05,K. Mahlangu,Production,CC-100,6765.92,Buyer,Open
PO-2026-00108,SUP-0032,Linbro Park Hardware (Pty) Ltd,2026-01-29,C. Maree,Warehouse,CC-300,2164.14,Buyer,Open
PO-2025-00109,SUP-0007,Cape Conveyor Systems (Pty) Ltd,2025-12-02,B. Sithole,Warehouse,CC-300,234749.36,Finance Manager,Open
PO-2026-00110,SUP-0005,Boksburg Fastener Co (Pty) Ltd,2026-05-18,R. Botha,Facilities,CC-600,14548.8,Department Manager,Open
PO-2026-00111,SUP-0012,Tshwane Pneumatics (Pty) Ltd,2026-08-18,S. Naidoo,Production,CC-100,117054.88,Finance Manager,Open
PO-2025-00112,SUP-0003,Protea Hydraulics (Pty) Ltd,2025-10-29,F. Adams,Warehouse,CC-300,29953.55,Department Manager,Open
PO-2026-00113,SUP-0016,Benoni Industrial Paints (Pty) Ltd,2026-05-18,G. Coetzee,Facilities,CC-600,29748.41,Department Manager,Open
PO-2026-00114,SUP-0029,Jet Park Packaging (Pty) Ltd,2026-07-15,F. Adams,Quality,CC-500,11721.68,Department Manager,Open
PO-2026-00115,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2026-01-05,S. Naidoo,Quality,CC-500,149671.15,Finance Manager,Open
PO-2026-00116,SUP-0035,Selby Scrap and Recovery (Pty) Ltd,2026-07-06,G. Coetzee,Engineering,CC-400,3901.32,Buyer,Open
PO-2025-00117,SUP-0042,Crown Mines Motor Spares (Pty) Ltd,2025-12-24,T. Mokoena,Production,CC-100,97630.16,Finance Manager,Open
PO-2026-00118,SUP-0040,Ophirton Hydraulic Rams (Pty) Ltd,2026-06-29,S. Naidoo,Quality,CC-500,20132.76,Department Manager,Open
PO-2025-00119,SUP-0043,New Centre Gas and Gear (Pty) Ltd,2025-12-26,C. Maree,Production,CC-100,1195.56,Buyer,Open
PO-2025-00120,SUP-0003,Protea Hydraulics (Pty) Ltd,2025-10-01,P. Dlamini,Maintenance,CC-200,33043.91,Department Manager,Open
PO-2026-00121,SUP-0023,Modderfontein Chemicals (Pty) Ltd,2026-05-18,C. Maree,Warehouse,CC-300,38209.56,Department Manager,Open
PO-2026-00122,SUP-0005,Boksburg Fastener Co (Pty) Ltd,2026-06-26,S. Naidoo,Engineering,CC-400,2925.98,Buyer,Open
PO-2026-00123,SUP-0001,Midrand Bearing Supplies (Pty) Ltd,2026-05-15,F. Adams,Facilities,CC-600,45026.2,Department Manager,Open
PO-2026-00124,SUP-0008,Umgeni Valve and Pump (Pty) Ltd,2026-02-23,S. Naidoo,Maintenance,CC-200,96208.6,Finance Manager,Open
PO-2026-00125,SUP-0038,Cleveland Bolt Supplies (Pty) Ltd,2026-07-03,S. Naidoo,Engineering,CC-400,12644.52,Department Manager,Open
PO-2025-00126,SUP-0010,Germiston Tool Hire (Pty) Ltd,2025-10-13,R. Botha,Engineering,CC-400,21189.18,Department Manager,Open
PO-2026-00127,SUP-0035,Selby Scrap and Recovery (Pty) Ltd,2026-08-05,L. Nkosi,Facilities,CC-600,19401.42,Department Manager,Open
PO-2026-00128,SUP-0023,Modderfontein Chemicals (Pty) Ltd,2026-04-20,G. Coetzee,Quality,CC-500,11802.2,Department Manager,Open
PO-2025-00129,SUP-0030,Elandsfontein Rubber (Pty) Ltd,2025-11-10,P. Dlamini,Facilities,CC-600,16681.32,Department Manager,Open
PO-2026-00130,SUP-0007,Cape Conveyor Systems (Pty) Ltd,2026-02-16,T. Mokoena,Facilities,CC-600,68364.71,Finance Manager,Open
PO-2025-00131,SUP-0009,Rand Safety Equipment (Pty) Ltd,2025-10-06,A. Petersen,Production,CC-100,8450.59,Buyer,Open
PO-2026-00132,SUP-0018,Springs Gearbox Services (Pty) Ltd,2026-03-13,K. Mahlangu,Facilities,CC-600,26907.51,Department Manager,Open
PO-2026-00133,SUP-0043,New Centre Gas and Gear (Pty) Ltd,2026-04-14,A. Petersen,Production,CC-100,2739.18,Buyer,Open
PO-2026-00134,SUP-0007,Cape Conveyor Systems (Pty) Ltd,2026-06-24,K. Mahlangu,Engineering,CC-400,16278.4,Department Manager,Open
PO-2026-00135,SUP-0028,Wadeville Hose and Coupling (Pty) Ltd,2026-07-13,S. Naidoo,Warehouse,CC-300,18076.09,Department Manager,Open
PO-2026-00136,SUP-0017,Roodepoort Motor Rewinds (Pty) Ltd,2026-01-20,G. Coetzee,Quality,CC-500,583465.86,Chief Financial Officer,Open
PO-2026-00137,SUP-0008,Umgeni Valve and Pump (Pty) Ltd,2026-02-09,D. Pillay,Facilities,CC-600,14207.0,Department Manager,Open
PO-2026-00138,SUP-0018,Springs Gearbox Services (Pty) Ltd,2026-06-08,P. Dlamini,Quality,CC-500,18487.35,Department Manager,Open
PO-2025-00139,SUP-0038,Cleveland Bolt Supplies (Pty) Ltd,2025-12-25,S. Naidoo,Maintenance,CC-200,60865.02,Finance Manager,Open
PO-2026-00140,SUP-0043,New Centre Gas and Gear (Pty) Ltd,2026-03-16,J. van Wyk,Facilities,CC-600,6047.16,Buyer,Open
PO-2026-00141,SUP-0031,Sebenza Workwear (Pty) Ltd,2026-05-18,L. Nkosi,Warehouse,CC-300,138281.2,Finance Manager,Open
PO-2025-00142,SUP-0034,Chamdor Forklift Spares (Pty) Ltd,2025-11-07,P. Dlamini,Maintenance,CC-200,26481.38,Department Manager,Open
PO-2026-00143,SUP-0005,Boksburg Fastener Co (Pty) Ltd,2026-08-24,L. Nkosi,Warehouse,CC-300,11084.16,Department Manager,Open
PO-2026-00144,SUP-0007,Cape Conveyor Systems (Pty) Ltd,2026-06-22,M. Fourie,Maintenance,CC-200,114543.46,Finance Manager,Open
PO-2025-00145,SUP-0032,Linbro Park Hardware (Pty) Ltd,2025-11-10,K. Mahlangu,Production,CC-100,825.63,Buyer,Open
PO-2026-00146,SUP-0008,Umgeni Valve and Pump (Pty) Ltd,2026-05-11,J. van Wyk,Production,CC-100,26611.16,Department Manager,Open
PO-2025-00147,SUP-0013,Isando Welding Supplies (Pty) Ltd,2025-10-09,A. Petersen,Quality,CC-500,12289.92,Department Manager,Open
PO-2026-00148,SUP-0028,Wadeville Hose and Coupling (Pty) Ltd,2026-07-13,G. Coetzee,Maintenance,CC-200,8795.51,Buyer,Open
PO-2026-00149,SUP-0035,Selby Scrap and Recovery (Pty) Ltd,2026-03-18,T. Mokoena,Production,CC-100,29450.58,Department Manager,Open
PO-2026-00150,SUP-0037,Denver Crane Services (Pty) Ltd,2026-04-16,S. Naidoo,Quality,CC-500,522472.66,Chief Financial Officer,Open
PO-2026-00151,SUP-0023,Modderfontein Chemicals (Pty) Ltd,2026-07-28,F. Adams,Facilities,CC-600,39124.1,Department Manager,Open
PO-2025-00152,SUP-0010,Germiston Tool Hire (Pty) Ltd,2025-11-19,G. Coetzee,Warehouse,CC-300,51990.3,Finance Manager,Open
PO-2025-00153,SUP-0013,Isando Welding Supplies (Pty) Ltd,2025-10-23,P. Dlamini,Engineering,CC-400,36185.23,Department Manager,Open
PO-2026-00154,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2026-03-13,M. Fourie,Facilities,CC-600,5366.76,Buyer,Open
PO-2025-00155,SUP-0020,Krugersdorp Chain and Sprocket (Pty) Ltd,2025-11-07,D. Pillay,Facilities,CC-600,15823.9,Department Manager,Open
PO-2026-00156,SUP-0031,Sebenza Workwear (Pty) Ltd,2026-04-10,M. Fourie,Engineering,CC-400,3336.72,Buyer,Open
PO-2026-00157,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2026-01-15,R. Botha,Maintenance,CC-200,29756.77,Department Manager,Open
PO-2026-00158,SUP-0033,Aeroton Castors (Pty) Ltd,2026-07-13,L. Nkosi,Warehouse,CC-300,2512.12,Buyer,Open
PO-2026-00159,SUP-0031,Sebenza Workwear (Pty) Ltd,2026-08-10,F. Adams,Warehouse,CC-300,14869.78,Department Manager,Open
PO-2025-00160,SUP-0040,Ophirton Hydraulic Rams (Pty) Ltd,2025-10-31,L. Nkosi,Facilities,CC-600,20874.75,Department Manager,Open
PO-2026-00161,SUP-0008,Umgeni Valve and Pump (Pty) Ltd,2026-04-20,L. Nkosi,Engineering,CC-400,38847.91,Department Manager,Open
PO-2025-00162,SUP-0003,Protea Hydraulics (Pty) Ltd,2025-10-15,N. Khumalo,Production,CC-100,33187.39,Department Manager,Open
PO-2025-00163,SUP-0035,Selby Scrap and Recovery (Pty) Ltd,2025-10-13,D. Pillay,Warehouse,CC-300,7290.27,Buyer,Open
PO-2025-00164,SUP-0030,Elandsfontein Rubber (Pty) Ltd,2025-11-03,A. Petersen,Quality,CC-500,4295.16,Buyer,Open
PO-2026-00165,SUP-0044,Village Main Instruments (Pty) Ltd,2026-05-07,F. Adams,Facilities,CC-600,11720.16,Department Manager,Open
PO-2026-00166,SUP-0024,Randburg Instrumentation (Pty) Ltd,2026-07-06,S. Naidoo,Facilities,CC-600,60867.39,Finance Manager,Open
PO-2026-00167,SUP-0030,Elandsfontein Rubber (Pty) Ltd,2026-05-08,R. Botha,Production,CC-100,647.73,Buyer,Open
PO-2026-00168,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2026-01-30,A. Petersen,Quality,CC-500,241825.6,Finance Manager,Open
PO-2026-00169,SUP-0020,Krugersdorp Chain and Sprocket (Pty) Ltd,2026-04-02,J. van Wyk,Quality,CC-500,13149.42,Department Manager,Open
PO-2026-00170,SUP-0026,Brakpan Sheet Metal (Pty) Ltd,2026-07-21,M. Fourie,Engineering,CC-400,2582.11,Buyer,Open
PO-2026-00171,SUP-0001,Midrand Bearing Supplies (Pty) Ltd,2026-06-30,L. Nkosi,Engineering,CC-400,19702.09,Department Manager,Open
PO-2025-00172,SUP-0042,Crown Mines Motor Spares (Pty) Ltd,2025-11-10,M. Fourie,Maintenance,CC-200,87151.2,Finance Manager,Open
PO-2025-00173,SUP-0036,Booysens Battery Centre (Pty) Ltd,2025-11-17,J. van Wyk,Engineering,CC-400,6096.51,Buyer,Open
PO-2026-00174,SUP-0018,Springs Gearbox Services (Pty) Ltd,2026-04-20,L. Nkosi,Facilities,CC-600,13603.96,Department Manager,Open
PO-2025-00175,SUP-0035,Selby Scrap and Recovery (Pty) Ltd,2025-10-20,B. Sithole,Engineering,CC-400,11055.7,Department Manager,Open
PO-2025-00176,SUP-0036,Booysens Battery Centre (Pty) Ltd,2025-10-29,R. Botha,Warehouse,CC-300,45132.06,Department Manager,Open
PO-2025-00177,SUP-0007,Cape Conveyor Systems (Pty) Ltd,2025-10-20,T. Mokoena,Engineering,CC-400,35027.15,Department Manager,Open
PO-2026-00178,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2026-08-18,M. Fourie,Quality,CC-500,229842.56,Finance Manager,Open
PO-2026-00179,SUP-0024,Randburg Instrumentation (Pty) Ltd,2026-06-22,A. Petersen,Production,CC-100,27555.75,Department Manager,Open
PO-2026-00180,SUP-0001,Midrand Bearing Supplies (Pty) Ltd,2026-07-21,F. Adams,Production,CC-100,11432.36,Department Manager,Open
PO-2025-00181,SUP-0030,Elandsfontein Rubber (Pty) Ltd,2025-11-04,K. Mahlangu,Facilities,CC-600,4846.2,Buyer,Open
PO-2026-00182,SUP-0036,Booysens Battery Centre (Pty) Ltd,2026-08-04,D. Pillay,Quality,CC-500,5056.22,Buyer,Open
PO-2025-00183,SUP-0042,Crown Mines Motor Spares (Pty) Ltd,2025-10-21,C. Maree,Quality,CC-500,47856.43,Department Manager,Open
PO-2026-00184,SUP-0016,Benoni Industrial Paints (Pty) Ltd,2026-06-22,J. van Wyk,Quality,CC-500,28618.32,Department Manager,Open
