exception_id,invoice_id,invoice_number,supplier_id,supplier_name,invoice_date,po_number,total_incl_vat,code,control,severity,line_no,value_at_risk,detail,recommendation,extraction_method,extraction_confidence
181,INV-00208,004170,SUP-0045,Salt River Marine Fittings (Pty) Ltd,2025-12-31,PO-2025-00491,51456.7,E06_BANK_CHANGE,Payment redirection fraud,HIGH,,51456.7,The invoice asks for payment into Absa Bank account 037652732. The master file holds Absa Bank account 37652732 for Salt River Marine Fittings (Pty) Ltd.,"Do not change the banking details off the back of a document. Phone the supplier on the number already held on file, never one printed on the invoice, and confirm before anything is paid.",rules_fallback,0.72
211,INV-00253,003001,SUP-0001,Midrand Bearing Supplies (Pty) Ltd,2025-12-10,PO-2025-00424,50907.18,E03_DUPLICATE,Duplicate payment prevention,HIGH,,50907.18,"Invoice number 003001 has already been captured as INV-00047 dated 2025-12-10 for R50,907.18.",Block the payment and mark it a duplicate. Confirm the original has not already gone out in an earlier run.,rules_fallback,0.72
80,INV-00106,INV2649613,SUP-0025,Sasolburg Pipe and Fittings (Pty) Ltd,2026-05-18,,49133.74,E04_NO_PO,Procurement compliance,MEDIUM,,49133.74,"No order number appears on the invoice. R49,133.74 is being claimed for goods nobody raised an order for.",Find out who ordered this and under what authority. Maverick spend is bought at whatever price the supplier felt like.,rules_fallback,0.72
81,INV-00106,INV2649613,SUP-0025,Sasolburg Pipe and Fittings (Pty) Ltd,2026-05-18,,49133.74,E10_THRESHOLD_SPLIT,Delegation of authority,HIGH,,49133.74,"4 invoices from this supplier between 2026-05-11 and 2026-05-20 each sit just under the R50,000 approval limit and total R195,024.37, which needs Finance Manager sign off.",Treat the run as one commitment and route it to the level the combined value requires. Ask the requester why it was placed in pieces.,rules_fallback,0.72
105,INV-00136,INV2667882,SUP-0025,Sasolburg Pipe and Fittings (Pty) Ltd,2026-05-11,,49092.98,E04_NO_PO,Procurement compliance,MEDIUM,,49092.98,"No order number appears on the invoice. R49,092.98 is being claimed for goods nobody raised an order for.",Find out who ordered this and under what authority. Maverick spend is bought at whatever price the supplier felt like.,rules_fallback,0.72
106,INV-00136,INV2667882,SUP-0025,Sasolburg Pipe and Fittings (Pty) Ltd,2026-05-11,,49092.98,E10_THRESHOLD_SPLIT,Delegation of authority,HIGH,,49092.98,"4 invoices from this supplier between 2026-05-11 and 2026-05-20 each sit just under the R50,000 approval limit and total R195,024.37, which needs Finance Manager sign off.",Treat the run as one commitment and route it to the level the combined value requires. Ask the requester why it was placed in pieces.,rules_fallback,0.72
2,INV-00003,INV2666625,SUP-0025,Sasolburg Pipe and Fittings (Pty) Ltd,2026-05-20,,48530.95,E04_NO_PO,Procurement compliance,MEDIUM,,48530.95,"No order number appears on the invoice. R48,530.95 is being claimed for goods nobody raised an order for.",Find out who ordered this and under what authority. Maverick spend is bought at whatever price the supplier felt like.,rules_fallback,0.72
3,INV-00003,INV2666625,SUP-0025,Sasolburg Pipe and Fittings (Pty) Ltd,2026-05-20,,48530.95,E10_THRESHOLD_SPLIT,Delegation of authority,HIGH,,48530.95,"4 invoices from this supplier between 2026-05-11 and 2026-05-20 each sit just under the R50,000 approval limit and total R195,024.37, which needs Finance Manager sign off.",Treat the run as one commitment and route it to the level the combined value requires. Ask the requester why it was placed in pieces.,rules_fallback,0.72
95,INV-00126,INV2694939,SUP-0025,Sasolburg Pipe and Fittings (Pty) Ltd,2026-05-14,,48266.7,E04_NO_PO,Procurement compliance,MEDIUM,,48266.7,"No order number appears on the invoice. R48,266.70 is being claimed for goods nobody raised an order for.",Find out who ordered this and under what authority. Maverick spend is bought at whatever price the supplier felt like.,rules_fallback,0.72
96,INV-00126,INV2694939,SUP-0025,Sasolburg Pipe and Fittings (Pty) Ltd,2026-05-14,,48266.7,E10_THRESHOLD_SPLIT,Delegation of authority,HIGH,,48266.7,"4 invoices from this supplier between 2026-05-11 and 2026-05-20 each sit just under the R50,000 approval limit and total R195,024.37, which needs Finance Manager sign off.",Treat the run as one commitment and route it to the level the combined value requires. Ask the requester why it was placed in pieces.,rules_fallback,0.72
53,INV-00071,INV2607617,SUP-0042,Crown Mines Motor Spares (Pty) Ltd,2026-04-10,PO-2026-00402,257753.75,E08_ARITHMETIC,Mathematical accuracy,MEDIUM,,38663.06,"Subtotal R257,753.75 plus VAT R38,663.06 comes to R296,416.81, but the total demanded is R257,753.75.",Send it back for a corrected invoice before it reaches the payment run.,rules_fallback,0.72
154,INV-00184,INV2604267,SUP-0023,Modderfontein Chemicals (Pty) Ltd,2026-06-01,PO-2026-00121,38209.56,E06_BANK_CHANGE,Payment redirection fraud,HIGH,,38209.56,The invoice asks for payment into First National Bank account 72779060342. The master file holds Standard Bank account 9128660241 for Modderfontein Chemicals (Pty) Ltd.,"Do not change the banking details off the back of a document. Phone the supplier on the number already held on file, never one printed on the invoice, and confirm before anything is paid.",rules_fallback,0.72
169,INV-00199,TI2605898,SUP-0028,Wadeville Hose and Coupling (Pty) Ltd,2026-09-25,PO-2026-00253,115512.82,E02_QTY_OVER_BILLED,Three way match,HIGH,1.0,37136.16,HYD-CYL80 billed for 5 units but the warehouse booked in 2. 3 units were never received.,Pay the received quantity only. Ask the warehouse to confirm nothing is sitting unbooked before the balance is released.,rules_fallback,0.72
48,INV-00064,INV2677836,SUP-0003,Protea Hydraulics (Pty) Ltd,2026-05-06,,36787.02,E04_NO_PO,Procurement compliance,MEDIUM,,36787.02,"No order number appears on the invoice. R36,787.02 is being claimed for goods nobody raised an order for.",Find out who ordered this and under what authority. Maverick spend is bought at whatever price the supplier felt like.,rules_fallback,0.72
23,INV-00032,006744,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2026-02-19,PO-2026-00168,241825.6,E08_ARITHMETIC,Mathematical accuracy,MEDIUM,,36273.84,"Subtotal R241,825.60 plus VAT R36,273.84 comes to R278,099.44, but the total demanded is R241,825.60.",Send it back for a corrected invoice before it reaches the payment run.,rules_fallback,0.72
199,INV-00236,INV2602769,SUP-0044,Village Main Instruments (Pty) Ltd,2026-07-04,PO-2026-00002,274384.83,E11_INVALID_TAX_INVOICE,VAT recoverability,MEDIUM,,35789.33,"The supply is R274,384.83, above the R5 000 full tax invoice threshold, but the document is missing the supplier VAT registration number. The R35,789.33 of input VAT cannot be claimed as it stands.","Request a compliant tax invoice before the VAT return is filed. The goods can still be paid for, the input tax cannot be claimed.",rules_fallback,0.72
166,INV-00192,SI2606742,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2026-11-09,PO-2026-00178,264318.94,E11_INVALID_TAX_INVOICE,VAT recoverability,MEDIUM,,34476.38,"The supply is R264,318.94, above the R5 000 full tax invoice threshold, but the document is missing the supplier VAT registration number. The R34,476.38 of input VAT cannot be claimed as it stands.","Request a compliant tax invoice before the VAT return is filed. The goods can still be paid for, the input tax cannot be claimed.",rules_fallback,0.72
232,INV-00280,TI2606723,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2026-01-27,PO-2026-00157,34220.29,E03_DUPLICATE,Duplicate payment prevention,HIGH,,34220.29,"Invoice number TI2606723 has already been captured as INV-00206 dated 2026-01-27 for R29,756.77.",Block the payment and mark it a duplicate. Confirm the original has not already gone out in an earlier run.,rules_fallback,0.72
207,INV-00248,005359,SUP-0007,Cape Conveyor Systems (Pty) Ltd,2025-11-07,PO-2025-00109,227999.44,E08_ARITHMETIC,Mathematical accuracy,MEDIUM,,34199.92,"Subtotal R227,999.44 plus VAT R34,199.92 comes to R262,199.36, but the total demanded is R227,999.44.",Send it back for a corrected invoice before it reaches the payment run.,rules_fallback,0.72
161,INV-00189,INV2699704,SUP-0021,Witbank Belting (Pty) Ltd,2026-09-25,,34176.99,E04_NO_PO,Procurement compliance,MEDIUM,,34176.99,"No order number appears on the invoice. R34,176.99 is being claimed for goods nobody raised an order for.",Find out who ordered this and under what authority. Maverick spend is bought at whatever price the supplier felt like.,rules_fallback,0.72
162,INV-00189,INV2699704,SUP-0021,Witbank Belting (Pty) Ltd,2026-09-25,,34176.99,E07_UNAPPROVED_SUPPLIER,Vendor master control,HIGH,,34176.99,Witbank Belting (Pty) Ltd is on the system but was never approved by procurement.,"Route to procurement for vendor onboarding, including tax clearance and bank verification, before any payment is released.",rules_fallback,0.72
107,INV-00137,INV2606738,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2026-10-09,PO-2026-00336,231322.79,E11_INVALID_TAX_INVOICE,VAT recoverability,MEDIUM,,30172.54,"The supply is R231,322.79, above the R5 000 full tax invoice threshold, but the document is missing the supplier VAT registration number. The R30,172.54 of input VAT cannot be claimed as it stands.","Request a compliant tax invoice before the VAT return is filed. The goods can still be paid for, the input tax cannot be claimed.",rules_fallback,0.72
63,INV-00080,SI2605125,SUP-0036,Booysens Battery Centre (Pty) Ltd,2026-06-16,PO-2026-00292,28984.28,E06_BANK_CHANGE,Payment redirection fraud,HIGH,,28984.28,The invoice asks for payment into None account 4190472586. The master file holds Capitec Business account 2238708796 for Booysens Battery Centre (Pty) Ltd.,"Do not change the banking details off the back of a document. Phone the supplier on the number already held on file, never one printed on the invoice, and confirm before anything is paid.",rules_fallback,0.72
26,INV-00036,INV2505880,SUP-0039,Robertsham Glass and Perspex (Pty) Ltd,2025-11-05,PO-2025-00200,191222.16,E08_ARITHMETIC,Mathematical accuracy,MEDIUM,,28683.32,"Subtotal R191,222.16 plus VAT R28,683.32 comes to R219,905.48, but the total demanded is R191,222.16.",Send it back for a corrected invoice before it reaches the payment run.,rules_fallback,0.72
220,INV-00268,INV2640453,SUP-0024,Randburg Instrumentation (Pty) Ltd,2026-07-23,PO-2026-00001,27083.05,E12_GOODS_NOT_RECEIVED,Three way match,HIGH,,27083.05,"Order PO-2026-00001 exists and the supplier has invoiced R27,083.05, but the warehouse has never booked anything in against it.","Confirm with the warehouse before paying. Either the delivery never arrived or it arrived and was not recorded, and both need fixing.",rules_fallback,0.72
230,INV-00277,INV2605842,SUP-0017,Roodepoort Motor Rewinds (Pty) Ltd,2026-05-20,PO-2026-00328,26862.8,E06_BANK_CHANGE,Payment redirection fraud,HIGH,,26862.8,The invoice asks for payment into Investec account 04168918377. The master file holds Investec account 4168918377 for Roodepoort Motor Rewinds (Pty) Ltd.,"Do not change the banking details off the back of a document. Phone the supplier on the number already held on file, never one printed on the invoice, and confirm before anything is paid.",rules_fallback,0.72
37,INV-00049,INV2506725,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2026-02-27,PO-2025-00211,199779.04,E11_INVALID_TAX_INVOICE,VAT recoverability,MEDIUM,,26058.14,"The supply is R199,779.04, above the R5 000 full tax invoice threshold, but the document is missing the supplier VAT registration number. The R26,058.14 of input VAT cannot be claimed as it stands.","Request a compliant tax invoice before the VAT return is filed. The goods can still be paid for, the input tax cannot be claimed.",rules_fallback,0.72
69,INV-00091,INV2606003,SUP-0022,Nigel Compressor Services (Pty) Ltd,2026-01-02,PO-2025-00321,24525.5,E06_BANK_CHANGE,Payment redirection fraud,HIGH,,24525.5,The invoice asks for payment into Nedbank account 0657675921. The master file holds Nedbank account 657675921 for Nigel Compressor Services (Pty) Ltd.,"Do not change the banking details off the back of a document. Phone the supplier on the number already held on file, never one printed on the invoice, and confirm before anything is paid.",rules_fallback,0.72
60,INV-00078,INV2672691,SUP-0001,Midrand Bearing Supplies (Pty) Ltd,2026-08-24,PO-2026-93399,24376.86,E04_NO_PO,Procurement compliance,MEDIUM,,24376.86,"The invoice quotes PO-2026-93399, which does not exist on the purchasing system.","Query the number with the supplier. A wrong reference is usually a typing error, but it can also be an invoice aimed at the wrong company.",rules_fallback,0.72
41,INV-00052,INV2560784,SUP-0010,Germiston Tool Hire (Pty) Ltd,2025-10-27,PO-2025-00126,24367.56,E12_GOODS_NOT_RECEIVED,Three way match,HIGH,,24367.56,"Order PO-2025-00126 exists and the supplier has invoiced R24,367.56, but the warehouse has never booked anything in against it.","Confirm with the warehouse before paying. Either the delivery never arrived or it arrived and was not recorded, and both need fixing.",rules_fallback,0.72
52,INV-00070,003004,SUP-0001,Midrand Bearing Supplies (Pty) Ltd,2026-07-15,PO-2026-00171,22657.4,E06_BANK_CHANGE,Payment redirection fraud,HIGH,,22657.4,The invoice asks for payment into Capitec Business account 3025625699. The master file holds First National Bank account 9308836478 for Midrand Bearing Supplies (Pty) Ltd.,"Do not change the banking details off the back of a document. Phone the supplier on the number already held on file, never one printed on the invoice, and confirm before anything is paid.",rules_fallback,0.72
22,INV-00029,005119,SUP-0036,Booysens Battery Centre (Pty) Ltd,2025-12-22,PO-2025-00013,22542.86,E03_DUPLICATE,Duplicate payment prevention,HIGH,,22542.86,"Invoice number 005119 has already been captured as INV-00027 dated 2025-12-22 for R19,602.49.",Block the payment and mark it a duplicate. Confirm the original has not already gone out in an earlier run.,rules_fallback,0.72
173,INV-00201,INV2606729,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2026-03-23,PO-2026-00115,172121.82,E11_INVALID_TAX_INVOICE,VAT recoverability,MEDIUM,,22450.67,"The supply is R172,121.82, above the R5 000 full tax invoice threshold, but the document is missing the supplier VAT registration number. The R22,450.67 of input VAT cannot be claimed as it stands.","Request a compliant tax invoice before the VAT return is filed. The goods can still be paid for, the input tax cannot be claimed.",rules_fallback,0.72
32,INV-00042,INV2637183,SUP-0014,Kempton Cable Works (Pty) Ltd,2026-01-30,,21856.47,E04_NO_PO,Procurement compliance,MEDIUM,,21856.47,"No order number appears on the invoice. R21,856.47 is being claimed for goods nobody raised an order for.",Find out who ordered this and under what authority. Maverick spend is bought at whatever price the supplier felt like.,rules_fallback,0.72
33,INV-00042,INV2637183,SUP-0014,Kempton Cable Works (Pty) Ltd,2026-01-30,,21856.47,E07_UNAPPROVED_SUPPLIER,Vendor master control,HIGH,,21856.47,Kempton Cable Works (Pty) Ltd is on the system but was never approved by procurement.,"Route to procurement for vendor onboarding, including tax clearance and bank verification, before any payment is released.",rules_fallback,0.72
225,INV-00271,INV2552466,SUP-0030,Elandsfontein Rubber (Pty) Ltd,2025-12-28,PO-2025-00129,19183.52,E12_GOODS_NOT_RECEIVED,Three way match,HIGH,,19183.52,"Order PO-2025-00129 exists and the supplier has invoiced R19,183.52, but the warehouse has never booked anything in against it.","Confirm with the warehouse before paying. Either the delivery never arrived or it arrived and was not recorded, and both need fixing.",rules_fallback,0.72
152,INV-00183,INV2622999,SUP-0034,Chamdor Forklift Spares (Pty) Ltd,2026-04-20,,18472.57,E04_NO_PO,Procurement compliance,MEDIUM,,18472.57,"No order number appears on the invoice. R18,472.57 is being claimed for goods nobody raised an order for.",Find out who ordered this and under what authority. Maverick spend is bought at whatever price the supplier felt like.,rules_fallback,0.72
44,INV-00057,TI2604181,SUP-0045,Salt River Marine Fittings (Pty) Ltd,2026-08-20,PO-2026-00400,17674.53,E06_BANK_CHANGE,Payment redirection fraud,HIGH,,17674.53,The invoice asks for payment into ing Absa Bank Account account 037652732. The master file holds Absa Bank account 37652732 for Salt River Marine Fittings (Pty) Ltd.,"Do not change the banking details off the back of a document. Phone the supplier on the number already held on file, never one printed on the invoice, and confirm before anything is paid.",rules_fallback,0.72
18,INV-00024,INV2563626,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2025-11-26,PO-2025-00063,16768.68,E12_GOODS_NOT_RECEIVED,Three way match,HIGH,,16768.68,"Order PO-2025-00063 exists and the supplier has invoiced R16,768.68, but the warehouse has never booked anything in against it.","Confirm with the warehouse before paying. Either the delivery never arrived or it arrived and was not recorded, and both need fixing.",rules_fallback,0.72
198,INV-00235,002443,SUP-0012,Tshwane Pneumatics (Pty) Ltd,2026-06-29,PO-2026-00268,16360.8,E06_BANK_CHANGE,Payment redirection fraud,HIGH,,16360.8,The invoice asks for payment into None account 69200018496. The master file holds First National Bank account 3340180146 for Tshwane Pneumatics (Pty) Ltd.,"Do not change the banking details off the back of a document. Phone the supplier on the number already held on file, never one printed on the invoice, and confirm before anything is paid.",rules_fallback,0.72
97,INV-00127,INV2630140,SUP-0016,Benoni Industrial Paints (Pty) Ltd,2026-09-17,PO-2026-94536,15270.71,E04_NO_PO,Procurement compliance,MEDIUM,,15270.71,"The invoice quotes PO-2026-94536, which does not exist on the purchasing system.","Query the number with the supplier. A wrong reference is usually a typing error, but it can also be an invoice aimed at the wrong company.",rules_fallback,0.72
170,INV-00199,TI2605898,SUP-0028,Wadeville Hose and Coupling (Pty) Ltd,2026-09-25,PO-2026-00253,115512.82,E11_INVALID_TAX_INVOICE,VAT recoverability,MEDIUM,,15066.89,"The supply is R115,512.82, above the R5 000 full tax invoice threshold, but the document is missing the supplier VAT registration number. The R15,066.89 of input VAT cannot be claimed as it stands.","Request a compliant tax invoice before the VAT return is filed. The goods can still be paid for, the input tax cannot be claimed.",rules_fallback,0.72
202,INV-00244,TI2607604,SUP-0042,Crown Mines Motor Spares (Pty) Ltd,2026-03-10,PO-2025-00117,112274.68,E11_INVALID_TAX_INVOICE,VAT recoverability,MEDIUM,,14644.52,"The supply is R112,274.68, above the R5 000 full tax invoice threshold, but the document is missing the supplier VAT registration number. The R14,644.52 of input VAT cannot be claimed as it stands.","Request a compliant tax invoice before the VAT return is filed. The goods can still be paid for, the input tax cannot be claimed.",rules_fallback,0.72
25,INV-00035,INV2505882,SUP-0039,Robertsham Glass and Perspex (Pty) Ltd,2025-11-17,PO-2025-00015,112014.31,E11_INVALID_TAX_INVOICE,VAT recoverability,MEDIUM,,14610.56,"The supply is R112,014.31, above the R5 000 full tax invoice threshold, but the document is missing the supplier VAT registration number. The R14,610.56 of input VAT cannot be claimed as it stands.","Request a compliant tax invoice before the VAT return is filed. The goods can still be paid for, the input tax cannot be claimed.",rules_fallback,0.72
61,INV-00079,SI2606386,,Kya Sand Plastics (Pty) Ltd TAX INVOICE,2026-05-14,PO-2026-00470,14559.74,E07_UNAPPROVED_SUPPLIER,Vendor master control,HIGH,,14559.74,"The name on the invoice could not be matched to any supplier on the master file. R14,559.74 is being claimed by a party the company has no record of.",Do not pay until the supplier is identified and loaded properly. An unknown payee is how invoice fraud gets through.,rules_fallback,0.72
125,INV-00152,TI2605846,SUP-0017,Roodepoort Motor Rewinds (Pty) Ltd,2026-04-23,PO-2026-00070,110961.55,E11_INVALID_TAX_INVOICE,VAT recoverability,MEDIUM,,14473.25,"The supply is R110,961.55, above the R5 000 full tax invoice threshold, but the document is missing the supplier VAT registration number. The R14,473.25 of input VAT cannot be claimed as it stands.","Request a compliant tax invoice before the VAT return is filed. The goods can still be paid for, the input tax cannot be claimed.",rules_fallback,0.72
191,INV-00223,INV2508005,,Highveld Lubricants (Pty) Ltd Invoice No. INV2508005,2025-11-21,PO-2025-00315,110887.52,E11_INVALID_TAX_INVOICE,VAT recoverability,MEDIUM,,14463.59,"The supply is R110,887.52, above the R5 000 full tax invoice threshold, but the document is missing the supplier VAT registration number. The R14,463.59 of input VAT cannot be claimed as it stands.","Request a compliant tax invoice before the VAT return is filed. The goods can still be paid for, the input tax cannot be claimed.",rules_fallback,0.72
123,INV-00152,TI2605846,SUP-0017,Roodepoort Motor Rewinds (Pty) Ltd,2026-04-23,PO-2026-00070,110961.55,E01_PRICE_VARIANCE,Three way match,HIGH,2.0,14029.52,"MTR-55KW4 charged at R14,267.80 against R10,760.42 on PO-2026-00070, a difference of 32.6 percent over 4 units.","Hold the line and ask the supplier for a credit note, or a written price increase agreed before the order was placed.",rules_fallback,0.72
83,INV-00107,INV2606006,SUP-0022,Nigel Compressor Services (Pty) Ltd,2026-06-03,PO-2026-00334,13902.07,E06_BANK_CHANGE,Payment redirection fraud,HIGH,,13902.07,The invoice asks for payment into None account 0657675921. The master file holds Nedbank account 657675921 for Nigel Compressor Services (Pty) Ltd.,"Do not change the banking details off the back of a document. Phone the supplier on the number already held on file, never one printed on the invoice, and confirm before anything is paid.",rules_fallback,0.72
59,INV-00077,INV2604264,SUP-0023,Modderfontein Chemicals (Pty) Ltd,2026-04-28,PO-2026-00128,13572.53,E06_BANK_CHANGE,Payment redirection fraud,HIGH,,13572.53,The invoice asks for payment into None account 05016747430. The master file holds Standard Bank account 9128660241 for Modderfontein Chemicals (Pty) Ltd.,"Do not change the banking details off the back of a document. Phone the supplier on the number already held on file, never one printed on the invoice, and confirm before anything is paid.",rules_fallback,0.72
