invoice_id,line_no,item_code,description,quantity,unit_price,line_total
INV-00065,2,DRV-SPB2120,SPB section V belt 2120mm,3,277.1,831.3
INV-00066,1,INS-PRS16,Pressure transmitter 0 to 16 bar 4 to 20mA,9,6638.94,59750.46
INV-00066,2,INS-TMP01,PT100 temperature probe with head,3,2101.43,6304.29
INV-00067,1,HYD-PMP45,Gear pump 45cc SAE B,3,7110.71,21332.13
INV-00067,2,HYD-CYL80,Hydraulic cylinder 80 bore 400 stroke,17,9435.91,160410.47
INV-00067,3,HYD-2SN12,Hydraulic hose 2SN 1/2 inch per metre,1,176.86,176.86
INV-00067,4,HYD-FIT12,Swaged fitting 1/2 BSP male,1,159.33,159.33
INV-00068,1,SEL-ORK01,O ring kit nitrile 382 piece,25,1343.64,33591.0
INV-00068,2,SEL-OIL45,Oil seal 45 x 65 x 10 nitrile,25,94.08,2352.0
INV-00069,1,STL-RD304,Stainless round bar 304 20mm 6m,4,2582.11,10328.44
INV-00070,1,DRV-TL2517,Taper lock bush 2517 x 45mm,1,680.89,680.89
INV-00070,2,BRG-22216,Spherical roller bearing 22216 E,5,3759.12,18795.6
INV-00070,3,DRV-SPB2120,SPB section V belt 2120mm,1,225.6,225.6
INV-00071,1,MTR-REW11,Motor rewind 11kW including bearings,25,10310.15,257753.75
INV-00072,1,SEL-ORK01,O ring kit nitrile 382 piece,2,1322.08,2644.16
INV-00072,2,SEL-OIL45,Oil seal 45 x 65 x 10 nitrile,7,94.81,663.67
INV-00072,3,SEL-GSK150,Full face gasket 150mm rubber insertion,4,266.08,1064.32
INV-00073,1,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,4,975.33,3901.32
INV-00074,1,ELE-CB63,Circuit breaker 63A triple pole,4,690.25,2761.0
INV-00074,2,ELE-SWA4C,SWA cable 4 core 16mm per metre,6,383.6,2301.6
INV-00074,3,ELE-BAT100,Deep cycle battery 100Ah,12,2155.55,25866.6
INV-00075,1,SEL-GSK150,Full face gasket 150mm rubber insertion,5,235.98,1179.9
INV-00075,2,SEL-OIL45,Oil seal 45 x 65 x 10 nitrile,3,96.07,288.21
INV-00076,1,HYD-PMP45,Gear pump 45cc SAE B,3,7696.84,23090.52
INV-00077,1,CHM-RUS05,Rust converter 5 litre,4,1175.9,4703.6
INV-00077,2,CHM-DEG25,Industrial degreaser 25 litre,4,1774.65,7098.6
INV-00078,1,BRG-22216,Spherical roller bearing 22216 E,5,3971.8,19859.0
INV-00078,2,DRV-SPB2120,SPB section V belt 2120mm,3,446.09,1338.27
INV-00079,1,PLA-PER06,Perspex sheet 6mm 1000 x 2000,2,2817.78,5635.56
INV-00079,2,PLA-HDPE10,HDPE sheet 10mm 1000 x 2000,2,3512.54,7025.08
INV-00080,1,ELE-CB63,Circuit breaker 63A triple pole,3,887.99,2663.97
INV-00080,2,ELE-SWA4C,SWA cable 4 core 16mm per metre,12,243.46,2921.52
INV-00080,3,ELE-BAT100,Deep cycle battery 100Ah,6,2223.68,13342.08
INV-00080,4,ELE-CON40,Contactor 40A 230V coil,5,1255.23,6276.15
INV-00081,1,CNV-BLT650,Conveyor belting 650mm 3 ply per metre,8,1059.4,8475.2
INV-00081,2,CNV-IDL152,Trough idler set 152mm 650 belt,1,2490.06,2490.06
INV-00082,1,TLS-GRN230,Angle grinder 230mm 2400W,1,3687.1,3687.1
INV-00082,2,TLS-DRL18,Cordless drill 18V two battery kit,5,2626.95,13134.75
INV-00082,3,TLS-TRQ34,Torque wrench 3/4 drive 100 to 500Nm,25,4988.52,124713.0
INV-00083,1,PNT-EPX20,Two pack epoxy enamel 20 litre,8,3577.29,28618.32
INV-00084,1,PNU-CMP75,Screw compressor service kit 7.5kW,3,8049.94,24149.82
INV-00084,2,PNU-CYL63,Pneumatic cylinder 63 bore 200 stroke,2,1951.87,3903.74
INV-00084,3,PNU-FRL12,Filter regulator lubricator 1/2 inch,5,1771.62,8858.1
INV-00085,1,FST-NUTM12,Hex nut M12 grade 8 box of 200,20,690.35,13807.0
INV-00086,1,HYD-PMP45,Gear pump 45cc SAE B,1,5906.74,5906.74
INV-00086,2,HYD-2SN12,Hydraulic hose 2SN 1/2 inch per metre,5,250.64,1253.2
INV-00087,1,INS-TMP01,PT100 temperature probe with head,3,1279.76,3839.28
INV-00088,1,PLA-PER06,Perspex sheet 6mm 1000 x 2000,6,3437.1,20622.6
INV-00088,2,PLA-HDPE10,HDPE sheet 10mm 1000 x 2000,1,3983.82,3983.82
INV-00089,1,INS-PRS16,Pressure transmitter 0 to 16 bar 4 to 20mA,20,7111.08,142221.6
INV-00090,1,MTR-REW11,Motor rewind 11kW including bearings,50,9387.27,469363.5
INV-00090,2,MTR-55KW4,Electric motor 5.5kW 4 pole foot mount,8,10866.04,86928.32
INV-00091,1,PNU-CYL63,Pneumatic cylinder 63 bore 200 stroke,6,2709.03,16254.18
INV-00091,2,PNU-CMP75,Screw compressor service kit 7.5kW,1,8271.32,8271.32
INV-00092,1,HYD-CYL80,Hydraulic cylinder 80 bore 400 stroke,10,6946.71,69467.1
INV-00092,2,HYD-2SN12,Hydraulic hose 2SN 1/2 inch per metre,2,169.36,338.72
INV-00093,1,INS-TMP01,PT100 temperature probe with head,2,1369.84,2739.68
INV-00094,1,REF-GAS404,Refrigerant R404a 10kg cylinder,1,5366.76,5366.76
INV-00095,1,HYD-PMP45,Gear pump 45cc SAE B,50,7603.17,380158.5
INV-00096,1,CNV-PUL400,Drum pulley 400mm lagged,5,12746.72,63733.6
INV-00096,2,CNV-BLT650,Conveyor belting 650mm 3 ply per metre,7,830.18,5811.26
INV-00097,1,PNU-CMP75,Screw compressor service kit 7.5kW,20,6715.18,134303.6
INV-00097,2,PNU-CYL63,Pneumatic cylinder 63 bore 200 stroke,25,2467.89,61697.25
INV-00098,1,ABR-CUT230,Cutting disc 230 x 3 x 22 box of 25,1,964.45,964.45
INV-00098,2,ABR-FLP125,Flap disc 125mm 60 grit box of 10,2,414.48,828.96
INV-00099,1,SEL-GSK150,Full face gasket 150mm rubber insertion,1,173.36,173.36
INV-00099,2,SEL-OIL45,Oil seal 45 x 65 x 10 nitrile,6,132.77,796.62
INV-00100,1,FST-ANC12,Chemical anchor stud M12 x 160,8,80.0,640.0
INV-00101,1,STL-RD304,Stainless round bar 304 20mm 6m,1,2610.15,2610.15
INV-00101,2,STL-PL6MS,Mild steel plate 6mm 1000 x 2000,1,1853.05,1853.05
INV-00102,1,BRG-6205,Deep groove ball bearing 6205 2RS,9,557.67,5019.03
INV-00102,2,DRV-SPB2120,SPB section V belt 2120mm,1,395.8,395.8
INV-00102,3,BRG-22216,Spherical roller bearing 22216 E,6,2002.83,12016.98
INV-00103,1,PPE-GLV10,Cut resistant glove level 5 pair,2,169.29,338.58
INV-00103,2,PPE-HRN01,Full body safety harness double lanyard,1,2498.65,2498.65
INV-00103,3,PPE-BOOT8,Safety boot steel toe size 8 pair,10,729.44,7294.4
INV-00103,4,PPE-HAT01,Hard hat vented with ratchet,1,108.59,108.59
INV-00104,1,FST-NUTM12,Hex nut M12 grade 8 box of 200,4,410.44,1641.76
INV-00104,2,FST-ANC12,Chemical anchor stud M12 x 160,1,77.02,77.02
INV-00104,3,FST-M12X60,Hex bolt M12 x 60 grade 8.8 box of 100,2,1319.66,2639.32
INV-00105,1,FLT-AIR01,Compressor air filter element,6,505.81,3034.86
INV-00105,2,FLT-HYD10,Hydraulic return filter element 10 micron,5,821.67,4108.35
INV-00106,1,PIP-FLG80,Slip on flange 80mm table D,7,6103.57,42724.99
INV-00107,1,PNU-CMP75,Screw compressor service kit 7.5kW,2,6023.69,12047.38
INV-00108,1,FST-NUTM12,Hex nut M12 grade 8 box of 200,3,715.73,2147.19
INV-00108,2,FST-ANC12,Chemical anchor stud M12 x 160,2,47.77,95.54
INV-00109,1,STL-ANG40,Equal angle 40 x 40 x 5mm 6m,3,634.96,1904.88
INV-00110,1,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,3,993.49,2980.47
INV-00110,2,STL-ANG40,Equal angle 40 x 40 x 5mm 6m,6,891.0,5346.0
INV-00110,3,STL-PL6MS,Mild steel plate 6mm 1000 x 2000,8,2961.97,23695.76
INV-00110,4,STL-RD304,Stainless round bar 304 20mm 6m,31,2538.01,78678.31
INV-00111,1,PPE-BOOT8,Safety boot steel toe size 8 pair,5,464.58,2322.9
INV-00111,2,PPE-GLV10,Cut resistant glove level 5 pair,5,183.41,917.05
INV-00111,3,PPE-HRN01,Full body safety harness double lanyard,2,1860.64,3721.28
INV-00112,1,SEL-GSK150,Full face gasket 150mm rubber insertion,10,194.68,1946.8
INV-00113,1,STL-ANG40,Equal angle 40 x 40 x 5mm 6m,1,586.53,586.53
INV-00113,2,STL-PL6MS,Mild steel plate 6mm 1000 x 2000,20,1851.54,37030.8
INV-00113,3,STL-RD304,Stainless round bar 304 20mm 6m,3,2579.46,7738.38
INV-00113,4,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,1,635.86,635.86
INV-00114,1,HYD-2SN12,Hydraulic hose 2SN 1/2 inch per metre,1,306.39,306.39
INV-00115,1,PNT-PRM20,Zinc phosphate primer 20 litre,3,2149.64,6448.92
INV-00115,2,PNT-EPX20,Two pack epoxy enamel 20 litre,1,4033.37,4033.37
INV-00116,1,DRV-TL2517,Taper lock bush 2517 x 45mm,8,664.36,5314.88
INV-00116,2,DRV-SPB2120,SPB section V belt 2120mm,12,286.42,3437.04
INV-00117,1,MTR-55KW4,Electric motor 5.5kW 4 pole foot mount,8,9242.17,73937.36
INV-00118,1,INS-TMP01,PT100 temperature probe with head,3,2593.85,7781.55
INV-00118,2,INS-PRS16,Pressure transmitter 0 to 16 bar 4 to 20mA,6,5354.6,32127.6
INV-00119,1,PLA-PER06,Perspex sheet 6mm 1000 x 2000,2,2383.73,4767.46
INV-00119,2,PLA-HDPE10,HDPE sheet 10mm 1000 x 2000,6,3779.13,22674.78
INV-00120,1,ELE-CB63,Circuit breaker 63A triple pole,10,1046.13,10461.3
INV-00120,2,ELE-BAT100,Deep cycle battery 100Ah,5,2476.75,12383.75
INV-00120,3,ELE-CON40,Contactor 40A 230V coil,20,1403.68,28073.6
INV-00121,1,PPE-HAT01,Hard hat vented with ratchet,1,131.9,131.9
INV-00122,1,PNU-CMP75,Screw compressor service kit 7.5kW,25,6775.55,169388.75
INV-00122,2,PNU-FRL12,Filter regulator lubricator 1/2 inch,25,1476.11,36902.75
INV-00123,1,DRV-SPB2120,SPB section V belt 2120mm,50,420.7,21035.0
INV-00124,1,TLS-TRQ34,Torque wrench 3/4 drive 100 to 500Nm,10,4684.98,46849.8
INV-00124,2,TLS-DRL18,Cordless drill 18V two battery kit,25,4565.33,114133.25
INV-00124,3,TLS-GRN230,Angle grinder 230mm 2400W,1,2218.43,2218.43
INV-00125,1,PNU-FRL12,Filter regulator lubricator 1/2 inch,8,1593.73,12749.84
INV-00125,2,PNU-CMP75,Screw compressor service kit 7.5kW,5,6127.92,30639.6
INV-00125,3,PNU-CYL63,Pneumatic cylinder 63 bore 200 stroke,1,2234.96,2234.96
INV-00126,1,PIP-FLG80,Slip on flange 80mm table D,8,5246.38,41971.04
INV-00127,1,PNT-EPX20,Two pack epoxy enamel 20 litre,3,3544.44,10633.32
INV-00127,2,PNT-PRM20,Zinc phosphate primer 20 litre,1,2645.56,2645.56
INV-00128,1,ABR-FLP125,Flap disc 125mm 60 grit box of 10,5,615.16,3075.8
INV-00129,1,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,3,837.0,2511.0
INV-00130,1,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,1,924.01,924.01
INV-00131,1,DRV-SPB2120,SPB section V belt 2120mm,4,305.73,1222.92
INV-00131,2,BRG-22216,Spherical roller bearing 22216 E,5,3634.77,18173.85
INV-00131,3,BRG-6205,Deep groove ball bearing 6205 2RS,2,536.67,1073.34
INV-00132,1,DRV-SPB2120,SPB section V belt 2120mm,3,231.1,693.3
INV-00132,2,DRV-TL2517,Taper lock bush 2517 x 45mm,2,529.63,1059.26
INV-00133,1,CHM-DEG25,Industrial degreaser 25 litre,5,1725.28,8626.4
INV-00134,1,ELE-CB63,Circuit breaker 63A triple pole,3,1227.77,3683.31
INV-00135,1,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,2,621.6,1243.2
INV-00135,2,STL-ANG40,Equal angle 40 x 40 x 5mm 6m,3,505.77,1517.31
INV-00135,3,STL-RD304,Stainless round bar 304 20mm 6m,6,1578.54,9471.24
INV-00135,4,STL-PL6MS,Mild steel plate 6mm 1000 x 2000,10,2335.96,23359.6
INV-00136,1,PIP-FLG80,Slip on flange 80mm table D,5,8537.91,42689.55
INV-00137,1,REF-GAS404,Refrigerant R404a 10kg cylinder,25,8046.01,201150.25
INV-00138,1,CHM-DEG25,Industrial degreaser 25 litre,3,1532.33,4596.99
INV-00138,2,CHM-RUS05,Rust converter 5 litre,10,806.71,8067.1
INV-00139,1,MTR-REW11,Motor rewind 11kW including bearings,1,9358.26,9358.26
INV-00140,1,REF-GAS404,Refrigerant R404a 10kg cylinder,5,8079.44,40397.2
INV-00141,1,PNU-CMP75,Screw compressor service kit 7.5kW,12,7818.94,93827.28
INV-00141,2,PNU-CYL63,Pneumatic cylinder 63 bore 200 stroke,1,1805.98,1805.98
INV-00141,3,PNU-FRL12,Filter regulator lubricator 1/2 inch,6,2092.56,12555.36
INV-00142,1,ELE-CON40,Contactor 40A 230V coil,4,1950.34,7801.36
INV-00143,1,HYD-CYL80,Hydraulic cylinder 80 bore 400 stroke,2,11463.26,22926.52
INV-00143,2,HYD-2SN12,Hydraulic hose 2SN 1/2 inch per metre,1,227.62,227.62
INV-00143,3,HYD-FIT12,Swaged fitting 1/2 BSP male,4,171.64,686.56
INV-00143,4,HYD-PMP45,Gear pump 45cc SAE B,1,5698.65,5698.65
INV-00144,1,PIP-GAL50,Galvanised pipe 50mm medium 6m,12,1827.8,21933.6
INV-00144,2,PIP-FLG80,Slip on flange 80mm table D,2,360.52,721.04
INV-00145,1,TLS-GRN230,Angle grinder 230mm 2400W,1,2411.93,2411.93
INV-00145,2,TLS-TRQ34,Torque wrench 3/4 drive 100 to 500Nm,5,5921.9,29609.5
INV-00145,3,TLS-DRL18,Cordless drill 18V two battery kit,5,3624.38,18121.9
INV-00146,1,LUB-EP220,Gear oil EP220 208 litre drum,5,13212.89,66064.45
INV-00147,1,SEL-ORK01,O ring kit nitrile 382 piece,21,976.88,20514.48
INV-00148,1,MHD-FRK25,Forklift fork 2500kg pair class 2,3,13406.72,40220.16
INV-00148,2,MHD-SLG03,Webbing sling 3 ton 4 metre,8,1114.67,8917.36
INV-00149,1,MHD-SLG03,Webbing sling 3 ton 4 metre,20,1124.32,22486.4
INV-00150,1,PPE-HAT01,Hard hat vented with ratchet,3,155.64,466.92
INV-00151,1,PPE-HRN01,Full body safety harness double lanyard,5,2122.9,10614.5
INV-00152,1,MTR-REW11,Motor rewind 11kW including bearings,5,7883.42,39417.1
INV-00152,2,MTR-55KW4,Electric motor 5.5kW 4 pole foot mount,4,14267.8,57071.2
INV-00153,1,PIP-GAL50,Galvanised pipe 50mm medium 6m,2,1835.41,3670.82
INV-00154,1,PIP-FLG80,Slip on flange 80mm table D,2,486.84,973.68
INV-00155,1,STL-PL6MS,Mild steel plate 6mm 1000 x 2000,1,3203.75,3203.75
INV-00155,2,STL-ANG40,Equal angle 40 x 40 x 5mm 6m,2,643.76,1287.52
INV-00155,3,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,3,1056.23,3168.69
INV-00156,1,HDW-PDL50,Brass padlock 50mm keyed alike,3,275.21,825.63
INV-00157,1,CHM-DEG25,Industrial degreaser 25 litre,6,1356.01,8136.06
INV-00158,1,DRV-TL2517,Taper lock bush 2517 x 45mm,12,635.5,7626.0
INV-00158,2,DRV-SPB2120,SPB section V belt 2120mm,8,228.13,1825.04
INV-00159,1,PPE-BOOT8,Safety boot steel toe size 8 pair,5,752.03,3760.15
INV-00160,1,MHD-FRK25,Forklift fork 2500kg pair class 2,1,12933.54,12933.54
INV-00161,1,SEL-GSK150,Full face gasket 150mm rubber insertion,1,157.16,157.16
INV-00162,1,CNV-IDL152,Trough idler set 152mm 650 belt,10,1627.84,16278.4
INV-00163,1,BRG-22216,Spherical roller bearing 22216 E,10,2031.92,20319.2
INV-00163,2,DRV-TL2517,Taper lock bush 2517 x 45mm,3,411.5,1234.5
INV-00163,3,DRV-SPB2120,SPB section V belt 2120mm,1,386.05,386.05
INV-00164,1,PPE-BOOT8,Safety boot steel toe size 8 pair,2,492.22,984.44
INV-00164,2,PPE-GLV10,Cut resistant glove level 5 pair,6,155.85,935.1
INV-00165,1,HYD-FIT12,Swaged fitting 1/2 BSP male,12,97.64,1171.68
INV-00166,1,PNU-CMP75,Screw compressor service kit 7.5kW,50,4870.31,243515.5
INV-00166,2,PNU-FRL12,Filter regulator lubricator 1/2 inch,1,2127.45,2127.45
INV-00167,1,PNU-FRL12,Filter regulator lubricator 1/2 inch,1,2023.88,2023.88
INV-00167,2,PNU-CMP75,Screw compressor service kit 7.5kW,19,4601.24,87423.56
INV-00168,1,PLA-HDPE10,HDPE sheet 10mm 1000 x 2000,25,2827.69,70692.25
INV-00168,2,PLA-PER06,Perspex sheet 6mm 1000 x 2000,1,2815.3,2815.3
INV-00169,1,INS-TMP01,PT100 temperature probe with head,5,1827.73,9138.65
